Item Code,Item Name,Category Name,net_qty_kg,net_revenue,avg_sell_price,avg_wholesale,loss_rate,loss_adj_margin,discount_share,txn_count
102900011036068,Mushroom And Leaf Mix (Bag),Edible Mushroom,13.0,86.7,6.6692307692307695,2.8500000000000005,0.0943,45.792414706856576,0.38461538461538464,13
102900011000632,Purple Cabbage (1),Cabbage,13.251,180.2526,13.558333333333332,7.87875,0.2553,45.803774969786474,0.0,24
102900011008133,Siguajian,Flower/Leaf Vegetables,14.227,286.49060000000003,20.64,15.733142857142857,0.1598,28.526531920971223,0.0,35
102900011011669,Xiuzhen Mushroom,Edible Mushroom,14.708,223.83,15.333333333333334,9.889841269841268,0.1193,60.63707391847396,0.0,63
102900011008676,Jicai,Flower/Leaf Vegetables,15.887,92.08840000000001,6.0736842105263165,4.810263157894736,0.11560000000000001,13.495862686567165,0.2631578947368421,38
102900011006955,Ice Grass,Flower/Leaf Vegetables,16.337,229.8204,13.9125,7.427499999999999,0.1501,87.76133422755619,0.0,48
102900011035849,Chinese Cabbage Seedling,Flower/Leaf Vegetables,16.538,116.564,7.076923076923077,3.6253846153846156,0.0,56.88714,0.0,39
102900011027462,Naibai Caimiao,Flower/Leaf Vegetables,16.829,168.29,10.0,5.439024390243903,0.10940000000000001,65.37210195373906,0.0,41
102900011032640,Jigu (2),Edible Mushroom,16.953,243.6166,14.536000000000001,9.061733333333333,0.0943,73.80657460527767,0.5466666666666666,75
102900011031735,7 Colour Pepper (Bag),Capsicum,18.0,91.0,5.055555555555555,3.4305555555555554,0.0943,22.82069117809429,0.05555555555555555,18
102900005115816,Nanguajian,Flower/Leaf Vegetables,18.428,151.592,8.19047619047619,4.6083333333333325,0.1346,53.48452368846775,0.0,42
102900051006229,Lotus Root Tip,Aquatic Tuberous Vegetables,18.614,74.456,4.0,2.9326470588235294,0.0,19.869120000000002,0.0,34
102900011024010,Fresh Lotus Root Zone (Bag),Aquatic Tuberous Vegetables,21.0,388.2,19.378947368421052,15.0,0.12689999999999999,27.41658458366735,0.0,19
102900005117353,The White Mushroom (1),Edible Mushroom,22.0,107.80000000000001,4.9,1.0,0.0943,83.50939604725627,0.0,22
102900011033081,Chuncai,Flower/Leaf Vegetables,24.996,183.711,7.175,4.1405,0.2903,30.6220891926166,0.0,40
102900011021644,Hongshan Caitai,Flower/Leaf Vegetables,25.0,99.0,3.96,5.582000000000001,0.0934,-54.92675932053828,0.68,25
102900011036686,Muercai (Bag),Flower/Leaf Vegetables,27.0,96.9,3.588888888888889,2.16,0.0943,32.507817157999334,0.4074074074074074,27
102900051010790,Purple Beicai,Flower/Leaf Vegetables,27.022,446.0582,16.396078431372548,8.088235294117647,0.19579999999999997,173.3247630440189,0.006535947712418301,153
102900011000861,Red Line Pepper,Capsicum,27.805,383.753,14.104032258064517,8.756693548387096,0.0771,120.43896814389427,0.0,248
102900011032626,Fresh Edible Fungus (2),Edible Mushroom,28.535,357.7266,12.583720930232559,7.334651162790697,0.0943,127.99338811968641,0.27906976744186046,86
102900011029305,Fruit Chili,Capsicum,28.571,629.4794,21.81954887218045,16.469774436090226,0.0018,150.6775767180926,0.06015037593984962,133
102900011032589,Yuxingcao ,Flower/Leaf Vegetables,28.601,332.9484,11.728301886792453,5.02311320754717,0.0943,174.59680454896767,0.07547169811320754,106
102900011031216,Ice Grass (Box),Flower/Leaf Vegetables,29.0,255.4,8.806896551724138,6.412068965517241,0.10339999999999999,48.00539817086775,0.27586206896551724,29
102900011007464,Perilla,Flower/Leaf Vegetables,30.172,583.9350000000001,20.466666666666665,12.516111111111112,0.1288,200.30054178145087,0.029914529914529916,234
102900011022924,Green Caitai,Flower/Leaf Vegetables,30.275,90.825,3.0,1.4,0.1094,43.23348865933079,0.0,61
102900011028407,Yuganjiao,Capsicum,33.907000000000004,429.548,12.677685950413224,7.588760330578513,0.0943,144.45596069338632,0.0,121
102900011030608,The Steak Mushrooms (Box),Edible Mushroom,35.0,285.8,8.077777777777778,5.152777777777778,0.198,62.23391521197011,0.4166666666666667,36
102900051009336,Chinese Caterpillar Fungus Flowers,Edible Mushroom,39.977,1155.1684,28.8778816199377,16.062679127725858,0.11680000000000001,424.210440307971,0.037383177570093455,321
102900011032176,Basil (Bag),Flower/Leaf Vegetables,40.0,148.9,3.7225,1.5685,0.0943,79.62761400022082,0.125,40
102900011034569,Honghu Lotus (Lotus Root),Aquatic Tuberous Vegetables,40.0,395.20000000000005,9.88,8.3375,0.0943,26.97652644363478,0.4,40
102900051009220,Youcaitai,Flower/Leaf Vegetables,40.726,380.879,9.64,6.668099999999999,0.1094,71.17311632607235,0.0,100
102900011032282,Xiangtianhongcaitai (Bag),Flower/Leaf Vegetables,41.0,152.7,3.724390243902439,2.5,0.0,50.199999999999996,0.14634146341463414,41
102900011036242,Green And Red Jian Pepper Mix (Bag),Capsicum,45.0,249.3,5.54,3.042666666666667,0.0943,98.1241139450149,0.1111111111111111,45
102900011002414,Panax Notoginseng,Flower/Leaf Vegetables,45.252,609.8486,13.50960451977401,6.180282485875707,0.16949999999999998,273.7559449729079,0.0,177
102900011018132,Wild Pink Lotus Root,Aquatic Tuberous Vegetables,50.815,734.56,14.986666666666666,9.843866666666667,0.12689999999999999,177.93631428244186,0.0,75
102900011008485,Mustard,Flower/Leaf Vegetables,51.735,370.363,7.451923076923077,3.9759615384615383,0.1375,139.92677971014493,0.07692307692307693,104
102900011032633,Fresh Sea (2),Edible Mushroom,51.895,734.2768,14.227692307692308,8.293538461538462,0.09430000000000001,259.5726816385116,0.3384615384615385,195
102900011023976,Net Lotus Root (2),Aquatic Tuberous Vegetables,62.221,371.0292,5.9460674157303375,3.8751685393258426,0.1162,95.08283204344875,0.02247191011235955,89
102900011033241,Caidian Quinoa Artemisia (Bag),Flower/Leaf Vegetables,65.0,232.9,3.583076923076923,3.433076923076923,0.0943,-13.484012366125661,0.23076923076923078,65
102900011032350,Bell Pepper (2),Capsicum,76.596,1228.795,15.969896193771627,8.560968858131487,0.0943,505.98214806227224,0.04844290657439446,289
106957634300058,The Crab Flavor Mushroom (Box),Edible Mushroom,81.0,232.2,2.8666666666666667,1.730864197530864,0.0,92.0,0.037037037037037035,81
102900005115977,Wandoujian,Flower/Leaf Vegetables,85.048,1134.0808,14.767263427109974,9.246649616368286,0.0836,359.9502020078569,0.0,391
102900011012482,Tea Tree Mushroom (Bag),Edible Mushroom,90.0,771.0,8.566666666666666,5.540222222222222,0.09970000000000001,217.1623903143397,0.26666666666666666,90
102900011000175,Kuaicai,Flower/Leaf Vegetables,91.272,753.452,8.217391304347826,4.800118577075099,0.20379999999999998,201.8157277066064,0.023715415019762844,253
102900011034262,Red Pepper (Bag),Capsicum,93.0,317.9,3.418279569892473,2.3833333333333333,0.0943,73.17216517610686,0.06451612903225806,93
